주유소명,주소
㈜정수에너지개발,서울특별시 영등포구 가마산로 414 (신길동)
지에스칼텍스㈜신길주유소,서울특별시 영등포구 신길로 74 (신길동)
한경석유㈜경덕주유소,서울특별시 영등포구 여의대방로23길 2 (신길동)
SK에너지(주)신길동주유소,서울특별시 영등포구 영등포로 348 (신길동)
㈜엠에스주유소,서울특별시 영등포구 대림로 230 (대림동)
현대오일뱅크㈜직영 영등포제일셀프주유소,서울특별시 영등포구 가마산로 379 (대림동) 
(주)대청에너지,서울특별시 영등포구 가마산로 328 (대림동)
남서울고속주유소,서울특별시 영등포구 가마산로 367 (대림동)
현대오일뱅크㈜직영신대방셀프주유소,서울특별시 동작구 시흥대로 616(신대방동)
현대오일뱅크㈜직영사당셀프주유소,서울특별시 동작구 동작대로 73(사당동)
대성산업㈜노량진주유소,서울특별시 동작구 노량진로 172(노량진동)
현대오일뱅크㈜흑석셀프주유소,서울특별시 동작구 현충로 101(흑석동)
현대오일뱅크㈜직영동작주유소,서울특별시 동작구 상도로 403(상도동)
㈜성림에너지 남성주유소,서울특별시 동작구 동작대로 135(사당동)
살피재주유소,서울특별시 동작구 상도로 334(상도동)
매일주유소,서울특별시 동작구 상도로 139(상도동)
GS칼텍스㈜ 대방주유소,서울특별시 동작구 여의대방로 214(대방동)
㈜창원이엔지,서울특별시 동작구 사당로 59(상도동)
서일석유㈜락성주유소,서울특별시 관악구 남부순환로 1920 (인헌동 1659-1)
한규상사 유정주유소,서울특별시 관악구 남부순환로 1691 (은천동 948-17)
SK에너지㈜대공원주유소 ,서울특별시 관악구 과천대로 921 (남현동 602-306)
난곡주유소,서울특별시 관악구 난곡로 206 (난곡동 616-1)
신관주유소,서울특별시 관악구 신림로 290 (서원동 1641-58)
현대주유소,서울특별시 관악구 난곡로 108 (난향동 666-14)
시몬주유소,서울특별시 관악구 남부순환로 1753 (은천동 912-15)
문성골주유소,서울특별시 관악구 문성로 97 (미성동 1477-5)
행운주유소,서울특별시 관악구 남부순환로 1883 (행운동 1679-30)
㈜엠오티이엔지직영삼화주유소,서울특별시 관악구 보라매로 41 (보라매동 726-10)
현대오일뱅크㈜직영관악셀프주유소,서울특별시 관악구 남부순환로 1520 (미성동 1571-8)
유림주유소,서울특별시 관악구 신림로 176 (서림동 112-47)
씨제이대한통운(주),서울특별시 관악구 남부순환로 1515 (신사동 507-24)
SK에너지㈜ 신봉천주유소,서울특별시 관악구 남부순환로 1880 (낙성대동 1663-11)
대양석유㈜보라매주유소,서울특별시 관악구 보라매로 26 (보라매동 729-4)
지에스칼텍스(주) 신월주유소,서울특별시 강동구 양재대로 1323
대성석유㈜ 길동주유소,서울특별시 강동구 천호대로 1168
지에스칼텍스(주) 동서울주유소,서울특별시 강동구 천호대로 1456
광성주유소,서울특별시 강동구 올림픽로 673
㈜삼표에너지 고덕주유소,서울특별시 강동구 고덕로 39
재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구 천호대로 1246
㈜소모에너지앤 성내주유소,서울특별시 강동구 올림픽로 578
현대오일뱅크㈜직영 명일셀프주유소,서울특별시 강동구 고덕로 168
천호 현대주유소,서울특별시 강동구 천중로 67
㈜지유에너지 직영오렌지주유소,서울특별시 강동구 성안로 102
구천면주유소,서울특별시 강동구 구천면로 357
구도일주유소 코알라,서울특별시 강동구 올림픽로 556
방아다리주유소,서울특별시 강동구 동남로 811
해뜨는주유소,서울특별시 강동구 상일로 132
㈜화동유업,서울특별시 금천구 시흥대로 484 (독산동)
SK에너지㈜  박미주유소,서울특별시 금천구 시흥대로 39-7 (시흥동)
지에스칼텍스(주) 일신주유소,서울특별시 금천구 시흥대로 118 (시흥동)
현대오일뱅크(주)직영 금천제일주유소,서울특별시 금천구 남부순환로 1410 (독산동)
(주)진우에너지 백운주유소,서울특별시 금천구 시흥대로 282 (독산동)
백산주유소,서울특별시 금천구 시흥대로 174 (시흥동)
주식회사 명보에너지,서울특별시 금천구 시흥대로 377 (독산동)
SK에너지㈜ 이가주유소,서울특별시 금천구 시흥대로 441 (독산동)
동광석유㈜  구광주유소,서울특별시 금천구 서부샛길 674 (가산동)
현대오일뱅크(주)직영 금천현대셀프주유소,서울특별시 금천구 독산로 147 (시흥동)
대득에너지(금천셀프주유소),서울특별시 금천구 시흥대로 81 (시흥동)
남서울(경복에너지),서울특별시 금천구 독산로 257 (독산동)
구도일주유소 동천,서울특별시 중랑구 동일로 654(면목동)
㈜자연에너지 대창주유소,서울특별시 중랑구 동일로 636(면목동)
대원주유소,서울특별시 중랑구 동일로 600(면목동)
오천만주유소,서울특별시 중랑구 동일로 547(면목동)
면목self주유소,서울특별시 중랑구 동일로 627(면목동)
용마로주유소,서울특별시 중랑구 용마산로 309(면목동)
대양주유소,서울특별시 중랑구 봉우재로 105(상봉동)
㈜태영 구도일주유소 한인,서울특별시 중랑구 망우로 170(상봉동)
현대오일뱅크㈜ 중랑교주유소 ,서울특별시 중랑구 망우로 229(중화동)
범아주유소,서울특별시 중랑구 동일로 881(묵동)
지에스칼텍스㈜ 소망주유소,서울특별시 중랑구 망우로 475(망우동)
우림주유소,서울특별시 중랑구 용마산로 487(망우동)
(주)기지에너지,서울특별시 중랑구 용마산로 716(신내동)
신내주유소,서울특별시 중랑구 용마산로 705(신내동)
신일주유소,서울특별시 중랑구상봉로 58(망우동)
진양주유소,서울특별시 송파구 올림픽로 499(풍납동)
선우상사 삼전주유소 (셀프),서울특별시 송파구 백제고분로 199(삼전동)
잠실주유소 (셀프),서울특별시 송파구 송파대로 442(송파동)
아시아주유소 (셀프),서울특별시 송파구 도곡로 438(잠실동)
(주)남경석유 세영주유소,서울특별시 송파구 동남로 298(오금동)
거여셀프주유소 (셀프),서울특별시 송파구 거마로 5(거여동)
올림픽셀프주유소 (셀프),서울특별시 송파구 위례성대로 188(오금동)
석촌주유소 (셀프),서울특별시 송파구 백제고분로 289 (석촌동)
상아주유소 (셀프),서울특별시 송파구 거마로 82(마천동)
